timestamp,device_id,cpu_usage_percent,memory_usage_percent,bandwidth_mbps,packet_loss_percent,latency_ms,is_anomaly,fault_type
2026-03-20 15:20:57.092896,switch_02,46.23,60.28,720.17,0.14,30.63,0,normal
2026-03-20 15:25:57.092896,firewall_04,44.52,72.58,434.63,0.41,20.47,0,normal
2026-03-20 15:30:57.092896,router_01,10.27,58.75,401.06,0.11,15.29,0,normal
2026-03-20 15:35:57.092896,load_balancer_05,56.26,74.63,465.76,0.01,8.13,0,normal
2026-03-20 15:40:57.092896,load_balancer_05,62.71,59.96,435.92,0.91,30.03,0,normal
2026-03-20 15:45:57.092896,server_03,37.28,58.53,515.53,0.17,16.96,0,normal
2026-03-20 15:50:57.092896,server_03,63.97,56.87,622.71,0.04,25.75,0,normal
2026-03-20 15:55:57.092896,load_balancer_05,43.59,23.68,457.87,0.43,25.55,0,normal
2026-03-20 16:00:57.092896,load_balancer_05,41.18,45.18,660.15,0.55,26.01,0,normal
2026-03-20 16:05:57.092896,firewall_04,45.47,38.96,516.69,0.51,20.0,0,normal
2026-03-20 16:10:57.092896,firewall_04,42.53,26.12,397.65,0.09,18.93,0,normal
2026-03-20 16:15:57.092896,load_balancer_05,62.51,66.36,542.63,1.25,16.15,0,normal
2026-03-20 16:20:57.092896,router_01,56.56,67.61,149.58,1.83,29.62,0,normal
2026-03-20 16:25:57.092896,load_balancer_05,47.52,63.95,356.57,0.37,22.48,0,normal
2026-03-20 16:30:57.092896,load_balancer_05,62.78,16.92,724.86,0.04,18.95,0,normal
2026-03-20 16:35:57.092896,switch_02,84.36,23.01,428.57,0.59,8.2,0,normal
2026-03-20 16:40:57.092896,firewall_04,54.37,51.12,383.78,0.52,20.17,0,normal
2026-03-20 16:45:57.092896,server_03,45.5,65.22,390.01,0.66,24.4,0,normal
2026-03-20 16:50:57.092896,server_03,45.2,65.12,643.91,0.25,8.8,0,normal
2026-03-20 16:55:57.092896,switch_02,34.66,65.87,345.93,0.63,22.8,0,normal
2026-03-20 17:00:57.092896,firewall_04,51.5,52.45,592.16,0.77,19.75,0,normal
2026-03-20 17:05:57.092896,firewall_04,55.53,29.79,642.21,0.88,25.65,0,normal
2026-03-20 17:10:57.092896,load_balancer_05,29.59,42.9,446.03,0.54,25.2,0,normal
2026-03-20 17:15:57.092896,load_balancer_05,41.25,92.01,573.51,0.14,11.82,0,normal
2026-03-20 17:20:57.092896,router_01,38.91,5.77,612.17,0.14,25.22,0,normal
2026-03-20 17:25:57.092896,server_03,56.41,41.68,611.12,0.27,24.84,0,normal
2026-03-20 17:30:57.092896,firewall_04,58.72,69.89,377.52,0.04,19.15,0,normal
2026-03-20 17:35:57.092896,server_03,67.74,47.75,559.8,1.19,26.71,0,normal
2026-03-20 17:40:57.092896,load_balancer_05,34.04,100.61,537.85,0.32,8.65,0,normal
2026-03-20 17:45:57.092896,switch_02,45.53,28.34,188.34,0.56,28.26,0,normal
2026-03-20 17:50:57.092896,load_balancer_05,38.12,57.67,381.9,0.66,20.99,0,normal
2026-03-20 17:55:57.092896,load_balancer_05,42.0,97.82,976.36,12.2,256.36,1,high_cpu
2026-03-20 18:00:57.092896,load_balancer_05,80.95,57.94,355.02,0.14,29.04,0,normal
2026-03-20 18:05:57.092896,switch_02,34.02,54.13,515.78,0.21,21.86,0,normal
2026-03-20 18:10:57.092896,router_01,31.65,76.67,663.17,0.38,28.49,0,normal
2026-03-20 18:15:57.092896,server_03,32.26,74.24,601.58,0.05,18.27,0,normal
2026-03-20 18:20:57.092896,switch_02,29.98,78.43,358.64,0.16,6.74,0,normal
2026-03-20 18:25:57.092896,load_balancer_05,49.55,52.13,542.94,0.31,18.54,0,normal
2026-03-20 18:30:57.092896,load_balancer_05,52.86,65.06,367.71,0.1,6.2,0,normal
2026-03-20 18:35:57.092896,router_01,42.17,40.14,402.75,0.31,19.94,0,normal
2026-03-20 18:40:57.092896,switch_02,24.76,34.82,553.3,0.09,21.57,0,normal
2026-03-20 18:45:57.092896,firewall_04,93.99,63.68,288.03,0.26,22.69,1,network_congestion
2026-03-20 18:50:57.092896,switch_02,49.47,49.28,282.56,0.49,22.17,0,normal
2026-03-20 18:55:57.092896,firewall_04,46.11,41.74,494.37,0.31,27.12,0,normal
2026-03-20 19:00:57.092896,firewall_04,23.09,46.4,784.79,0.37,6.82,0,normal
2026-03-20 19:05:57.092896,server_03,29.33,18.6,661.27,0.18,31.26,0,normal
2026-03-20 19:10:57.092896,load_balancer_05,31.84,57.97,649.3,0.82,18.09,0,normal
2026-03-20 19:15:57.092896,switch_02,53.29,53.2,456.53,1.32,17.72,0,normal
2026-03-20 19:20:57.092896,load_balancer_05,47.88,67.92,482.9,0.38,17.05,0,normal
2026-03-20 19:25:57.092896,switch_02,34.19,26.52,168.54,1.72,32.22,0,normal
2026-03-20 19:30:57.092896,load_balancer_05,42.65,55.69,399.02,1.55,11.97,0,normal
2026-03-20 19:35:57.092896,switch_02,16.4,93.94,374.18,0.32,26.72,0,normal
